Node ID,Latitude,Longitude,Properties
137715403,36.1318580,-115.1530843,0
137719393,36.1293470,-115.1334840,0
137725616,36.1359670,-115.1311500,0
137732554,36.0891600,-115.1368010,0
137733673,36.1370450,-115.1062940,0
137734149,36.0936450,-115.1368350,0
137735823,36.1241350,-115.1503630,0
137735826,36.1238340,-115.1503480,0
137735829,36.1238460,-115.1506100,0
137735832,36.1238740,-115.1507850,0
137735835,36.1238760,-115.1509340,0
137736801,36.1552670,-115.1369970,0
137736912,36.1511470,-115.1370080,0
137736916,36.1508640,-115.1369820,0
137736919,36.1454850,-115.1370180,0
137736930,36.1444340,-115.1370220,0
137736934,36.1437350,-115.1369530,0
137736937,36.1433000,-115.1368360,0
137736941,36.1418240,-115.1368720,0
137736944,36.1369930,-115.1368750,0
137736948,36.1221420,-115.1373860,0
137736951,36.1175900,-115.1376680,0
137736957,36.1107230,-115.1375870,0
137736961,36.1032170,-115.1370580,0
137736967,36.1029870,-115.1370420,0
137736971,36.1014760,-115.1369380,0
137736973,36.0993730,-115.1368820,0
137737544,36.1212540,-115.1548440,0
137737548,36.1212390,-115.1479510,0
137737551,36.1219380,-115.1454010,0
137737555,36.1220760,-115.1445930,0
137737558,36.1221400,-115.1439280,0
137737559,36.1221610,-115.1432810,0
137737563,36.1221530,-115.1375450,0
137737566,36.1221220,-115.1369390,0
137737570,36.1220760,-115.1365670,0
137737573,36.1218930,-115.1362020,0
137737577,36.1217550,-115.1359780,0
137737581,36.1216970,-115.1357330,0
137737587,36.1216470,-115.1345670,0
137737589,36.1216390,-115.1340750,0
137737593,36.1217240,-115.1337930,0
137737597,36.1218710,-115.1335180,0
137737601,36.1221920,-115.1279520,0
137740121,36.1163510,-115.1600790,0
137740127,36.1164640,-115.1596040,0
137740139,36.1154418,-115.1578514,0
137740143,36.1153269,-115.1575607,0
137740146,36.1152847,-115.1556375,0
137740149,36.1153139,-115.1554675,0
137740152,36.1154175,-115.1553336,0
137740155,36.1155295,-115.1552494,0
137740159,36.1156845,-115.1552097,0
137740160,36.1159102,-115.1552352,0
137740162,36.1160600,-115.1552773,0
137740177,36.1166504,-115.1552366,0
137740179,36.1167206,-115.1550925,0
137740744,36.1032030,-115.1358740,0
137743383,36.1191878,-115.1628846,0
137743393,36.1191810,-115.1640520,0
137747000,36.1182540,-115.1521960,0
137747190,36.1391630,-115.1454650,0
137747193,36.1390130,-115.1453750,0
137747196,36.1385930,-115.1449350,0
137747199,36.1384600,-115.1447510,0
137747202,36.1384130,-115.1446320,0
137747205,36.1382320,-115.1436390,0
